DOB,Age,Time_treatment,Phase,Hours_from_Start,Timepoint,Replicate,Initial Abs.,Final Abs.,Change in Abs. ,Corrected_Change
3/22/19,6,Light,Resting,3,1,1,1.327,0.7596,-0.5675,
3/22/19,6,Light,Resting,3,1,2,0.6537,0.834,0.1803,119.35
3/22/19,6,Light,Resting,3,1,3,0.7061,0.7097,0.0036,
3/22/19,6,Light,Resting,3,1,4,0.537,0.8478,0.3108,249.85
3/22/19,6,Light,Resting,6,2,1,0.5233,0.6484,0.1252,64.2
3/22/19,6,Light,Resting,6,2,2,0.7085,1.1586,0.4501,389.15
3/22/19,6,Light,Resting,6,2,3,0.5927,0.7131,0.1204,59.4
3/22/19,6,Light,Resting,6,2,4,0.6161,0.7375,0.1214,60.45
3/22/19,6,Light,Resting,9,3,1,0.6032,0.7489,0.1457,84.75
3/22/19,6,Light,Resting,9,3,2,0.6786,0.9616,0.283,222
3/22/19,6,Light,Resting,9,3,3,0.5802,0.7661,0.186,125
3/22/19,6,Light,Resting,9,3,4,0.8642,1.1113,0.2471,186.1
3/22/19,6,Light,Resting,12,4,1,0.5685,0.8001,0.2316,170.65
3/22/19,6,Light,Resting,12,4,2,1.0609,1.2676,0.2067,145.75
3/22/19,6,Light,Resting,12,4,3,0.6797,0.8697,0.19,129.05
3/22/19,6,Light,Resting,12,4,4,0.6116,0.8279,0.2163,155.3
3/22/19,6,Light,Resting,15,5,1,0.5743,0.7426,0.1683,107.35
3/22/19,6,Light,Resting,15,5,2,0.732,0.8908,0.1588,97.85
3/22/19,6,Light,Resting,15,5,3,0.5484,0.7012,0.1529,91.9
3/22/19,6,Light,Resting,15,5,4,0.7299,0.8661,0.1362,75.2
3/22/19,6,Dark,Active,18,6,1,0.6883,0.9566,0.2684,207.4
3/22/19,6,Dark,Active,18,6,2,0.6923,1.0879,0.3956,334.65
3/22/19,6,Dark,Active,18,6,3,0.8821,0.8878,0.0058,
3/22/19,6,Dark,Active,18,6,4,0.7425,0.7182,-0.0243,
3/22/19,6,Dark,Active,21,7,1,0.645,0.7614,0.1164,55.4
3/22/19,6,Dark,Active,21,7,2,0.6883,0.8577,0.1694,108.4
3/22/19,6,Dark,Active,21,7,3,0.6023,0.7201,0.1179,56.9
3/22/19,6,Dark,Active,21,7,4,1.2936,0.8251,-0.4686,
3/22/19,6,Dark,Active,24,8,1,0.5342,0.7594,0.2252,164.2
3/22/19,6,Dark,Active,24,8,2,0.5857,0.7048,0.1191,58.15
3/22/19,6,Dark,Active,24,8,3,0.7822,0.9005,0.1184,57.4
3/22/19,6,Dark,Active,24,8,4,0.7528,0.9601,0.2073,146.35
3/22/19,7,Light,Resting,27,9,1,0.9044,0.94795,0.04355,
3/22/19,7,Light,Resting,27,9,2,0.7486,0.8951,0.1465,88.05
3/22/19,7,Light,Resting,27,9,3,0.7029,0.941,0.23815,179.7
3/22/19,7,Light,Resting,27,9,4,0.8544,0.9614,0.107,48.55
3/22/19,7,Light,Resting,30,10,1,0.6842,0.9592,0.275,216.55
3/22/19,7,Light,Resting,30,10,2,0.7084,0.814,0.10565,47.2
3/22/19,7,Light,Resting,30,10,3,0.9994,0.9921,-0.0073,
3/22/19,7,Light,Resting,30,10,4,0.5095,0.547,0.0375,
3/22/19,7,Light,Resting,33,11,1,0.699,0.8637,0.16475,106.3
3/22/19,7,Light,Resting,33,11,2,0.9068,1.1378,0.23105,172.6
3/22/19,7,Light,Resting,33,11,3,0.7428,0.9477,0.2049,146.45
3/22/19,7,Light,Resting,33,11,4,0.8582,0.9588,0.10065,42.2
3/22/19,7,Light,Resting,36,12,1,0.6523,1.052,0.3997,341.25
3/22/19,7,Light,Resting,36,12,2,0.80645,1.0898,0.28335,224.9
3/22/19,7,Light,Resting,36,12,3,0.9836,1.2203,0.2367,178.25
3/22/19,7,Light,Resting,36,12,4,0.8022,1.0124,0.2102,151.75
