time,PO_1,PO_2,PO_3,PO_4
3,,14.92,,31.23
6,8.03,48.64,7.42,7.56
9,10.59,27.75,15.63,23.26
12,21.33,18.22,16.13,19.41
15,13.42,12.23,13.13,9.4
18,25.93,41.83,,
21,6.92,13.55,7.11,
24,20.53,7.27,7.18,18.29
27,,11.01,22.46,6.07
30,,5.9,,
33,13.29,21.58,18.31,5.27
36,,28.11,22.28,
39,13.99,12.69,45.51,8.56
42,25.87,19.23,,53.2
45,,31.39,,
48,26.98,54.48,24.5,
51,28.19,5.77,8.09,
54,9.61,17.61,25.31,24.03
57,19.04,,8.91,11.26
60,46.01,59.94,12.73,8.88
63,10.39,,8.53,10.12
66,46.46,31.27,20.21,24.54
69,37.55,35.74,,39.24
72,45.8,,2.45,21.44
75,,,,
78,53.6,2.18,11.74,
81,22.15,38.89,27.11,35.34
84,23.29,55.61,40.41,29.51
87,,31.14,67.23,32.23
90,34.94,51.49,27.36,39.63
93,4.11,27.04,30.34,16.11
96,37.94,40.76,75.38,59.11
