Time_treatment,Age,Sex,Plate_Treatment,Animal,Exposed/Control,Technical_ Replicate,Flourometry_Reading,Control_Number,Control_Technical_Replicate,Control_Flour_Reading,Plate_Control
Day,6,F,6_DAY,1,Exposed,1,36383,C1,1,41998,6_DAY
Day,6,F,6_DAY,1,Exposed,2,30289,C1,2,38171,6_DAY
Day,6,F,6_DAY,2,Exposed,1,26251,C2,1,43232,6_DAY
Day,6,F,6_DAY,2,Exposed,2,28677,C2,2,36660,6_DAY
Day,6,F,6_DAY,3,Exposed,1,35891,C3,1,39921,6_DAY
Day,6,F,6_DAY,3,Exposed,2,30551,C3,2,42208,6_DAY
Day,6,F,6_DAY,4,Exposed,1,25697,C4,1,42486,6_DAY
Day,6,F,6_DAY,4,Exposed,2,20759,C4,2,43517,6_DAY
Day,6,F,6_DAY,5,Exposed,1,25332,C1,1,37502.5,6_NIGHT
Day,6,F,6_DAY,5,Exposed,2,24503,C1,2,32326.5,6_NIGHT
Day,6,F,6_DAY,6,Exposed,1,26673,C2,1,40726.5,6_NIGHT
Day,6,F,6_DAY,6,Exposed,2,30397,C2,2,33900.5,6_NIGHT
Day,6,F,6_DAY,7,Exposed,1,35420,C3,1,34285.5,6_NIGHT
Day,6,F,6_DAY,7,Exposed,2,30195,C3,2,42243.5,6_NIGHT
Day,6,F,6_DAY,8,Exposed,1,25604,C4,1,37568.5,6_NIGHT
Day,6,F,6_DAY,8,Exposed,2,28880,C4,2,37259.5,6_NIGHT
Day,6,F,6_DAY,9,Exposed,1,23310,C1,1,34176.5,7_DAY
Day,6,F,6_DAY,9,Exposed,2,21698,C1,2,32744.5,7_DAY
Day,6,F,6_DAY,10,Exposed,1,24453,C2,1,38748.5,7_DAY
Day,6,F,6_DAY,10,Exposed,2,27594,C2,2,50522.5,7_DAY
Day,6,F,6_DAY,11,Exposed,1,29490,C3,1,34828.5,7_DAY
Day,6,F,6_DAY,11,Exposed,2,26533,C3,2,41766.5,7_DAY
Day,6,F,6_DAY,12,Exposed,1,22667,C4,1,37841.5,7_DAY
Day,6,F,6_DAY,12,Exposed,2,30196,C4,2,31434.5,7_DAY
Day,6,F,6_DAY,13,Exposed,1,34664,C1,1,29111.5,7_NIGHT
Day,6,F,6_DAY,13,Exposed,2,29788,C1,2,21057.5,7_NIGHT
Day,6,F,6_DAY,14,Exposed,1,28780,C2,1,20911.5,7_NIGHT
Day,6,F,6_DAY,14,Exposed,2,26814,C2,2,27950.5,7_NIGHT
Day,6,F,6_DAY,15,Exposed,1,30992,C3,1,24548.5,7_NIGHT
Day,6,F,6_DAY,15,Exposed,2,25368,C3,2,26924.5,7_NIGHT
Day,6,F,6_DAY,16,Exposed,1,24190,C4,1,33480.5,7_NIGHT
Day,6,F,6_DAY,16,Exposed,2,21214,C4,2,27717.5,7_NIGHT
Day,6,F,6_DAY,17,Exposed,1,27011,C1,1,31010,8_DAY
Day,6,F,6_DAY,17,Exposed,2,22103,C1,2,33317,8_DAY
Day,6,F,6_DAY,18,Exposed,1,30907,C2,1,37314,8_DAY
Day,6,F,6_DAY,18,Exposed,2,33308,C2,2,34501,8_DAY
Day,6,F,6_DAY,19,Exposed,1,34221,C3,1,29998,8_DAY
Day,6,F,6_DAY,19,Exposed,2,31282,C3,2,30316,8_DAY
Day,6,F,6_DAY,20,Exposed,1,31098,C4,1,44388,8_DAY
Day,6,F,6_DAY,20,Exposed,2,30841,C4,2,37638,8_DAY
Day,6,F,6_DAY,21,Exposed,1,28357,C1,1,36841,8_NIGHT
Day,6,F,6_DAY,21,Exposed,2,31423,C1,2,33180,8_NIGHT
Day,6,F,6_DAY,22,Exposed,1,34831,C2,1,45230,8_NIGHT
Day,6,F,6_DAY,22,Exposed,2,35828,C2,2,40090,8_NIGHT
Day,6,F,6_DAY,23,Exposed,1,27796,C3,1,34867,8_NIGHT
Day,6,F,6_DAY,23,Exposed,2,32491,C3,2,38991,8_NIGHT
Day,6,F,6_DAY,24,Exposed,1,33063,C4,1,38501,8_NIGHT
Day,6,F,6_DAY,24,Exposed,2,33468,C4,2,36136,8_NIGHT
Day,6,F,6_DAY,25,Exposed,1,30991,C1,1,36185,9_DAY
Day,6,F,6_DAY,25,Exposed,2,24248,C1,2,40116,9_DAY
Day,6,F,6_DAY,26,Exposed,1,30887,C2,1,29359,9_DAY
Day,6,F,6_DAY,26,Exposed,2,33024,C2,2,34909,9_DAY
Day,6,F,6_DAY,27,Exposed,1,36747,C3,1,39578,9_DAY
Day,6,F,6_DAY,27,Exposed,2,44831,C3,2,38447,9_DAY
Day,6,F,6_DAY,28,Exposed,1,49428,C4,1,42630,9_DAY
Day,6,F,6_DAY,28,Exposed,2,44500,C4,2,38209,9_DAY
Day,6,F,6_DAY,29,Exposed,1,41958,C1,1,38970,9_NIGHT
Day,6,F,6_DAY,29,Exposed,2,36458,C1,2,39079,9_NIGHT
Day,6,F,6_DAY,30,Exposed,1,40230,C2,1,39651,9_NIGHT
Day,6,F,6_DAY,30,Exposed,2,44789,C2,2,42343,9_NIGHT
Day,6,F,6_DAY,31,Control,1,46539,C3,1,42876,9_NIGHT
Day,6,F,6_DAY,31,Control,2,37627,C3,2,35813,9_NIGHT
Day,6,F,6_DAY,32,Control,1,43663,C4,1,41148,9_NIGHT
Day,6,F,6_DAY,32,Control,2,41891,C4,2,36938,9_NIGHT
Day,6,F,6_DAY,33,Control,1,38697,,,,
Day,6,F,6_DAY,33,Control,2,29841,,,,
Day,6,F,6_DAY,34,Control,1,NA,,,,
Day,6,F,6_DAY,34,Control,2,NA,,,,
Day,6,F,6_DAY,35,Control,1,33090,,,,
Day,6,F,6_DAY,35,Control,2,33774,,,,
Day,6,F,6_DAY,36,Control,1,40214,,,,
Day,6,F,6_DAY,36,Control,2,47076,,,,
Day,6,F,6_DAY,37,Control,1,37906,,,,
Day,6,F,6_DAY,37,Control,2,39850,,,,
Night,6,F,6_NIGHT,1,Exposed,1,34379,,,,
Night,6,F,6_NIGHT,1,Exposed,2,38242,,,,
Night,6,F,6_NIGHT,2,Exposed,1,29666,,,,
Night,6,F,6_NIGHT,2,Exposed,2,28601,,,,
Night,6,F,6_NIGHT,3,Exposed,1,36636,,,,
Night,6,F,6_NIGHT,3,Exposed,2,27721,,,,
Night,6,F,6_NIGHT,4,Exposed,1,30858,,,,
Night,6,F,6_NIGHT,4,Exposed,2,33428,,,,
