Time_treatment,Age,Animal,Exposed/Control,days_post_exposure,Measure_at_exposure,Length_at_exposure_mm
Day,6,1,Exposed,0,55,1.056
Day,6,2,Exposed,0,56,1.0752
Day,6,3,Exposed,0,42,0.8064
Day,6,4,Exposed,0,61,1.1712
Day,6,5,Exposed,0,57,1.0944
Day,6,6,Exposed,0,60,1.152
Day,6,7,Exposed,0,67,1.2864
Day,6,8,Exposed,0,60,1.152
Day,6,9,Exposed,0,61,1.1712
Day,6,10,Exposed,0,72,1.3824
Day,6,11,Exposed,0,47,0.9024
Day,6,12,Exposed,0,58,1.1136
Day,6,13,Exposed,0,55,1.056
Day,6,14,Exposed,0,55,1.056
Day,6,15,Exposed,0,65,1.248
Day,6,16,Exposed,0,60,1.152
Day,6,17,Exposed,0,62,1.1904
Day,6,18,Exposed,0,55,1.056
Day,6,19,Exposed,0,45,0.864
Day,6,20,Exposed,0,60,1.152
Day,6,21,Exposed,0,57,1.0944
Day,6,22,Exposed,0,65,1.248
Day,6,23,Exposed,0,55,1.056
Day,6,24,Exposed,0,59,1.1328
Day,6,25,Exposed,0,60,1.152
Day,6,26,Exposed,0,60,1.152
Day,6,27,Exposed,0,61,1.1712
Day,6,28,Exposed,0,65,1.248
Day,6,29,Exposed,0,54,1.0368
Day,6,30,Exposed,0,54,1.0368
Day,6,31,Control,0,45,0.864
Day,6,32,Control,0,42,0.8064
Day,6,33,Control,0,59,1.1328
Day,6,34,Control,0,NA,NA
Day,6,35,Control,0,60,1.152
Day,6,36,Control,0,50,0.96
Day,6,37,Control,0,53,1.0176
Night,6,1,Exposed,0,67,1.2864
Night,6,2,Exposed,0,62,1.1904
Night,6,3,Exposed,0,68,1.3056
Night,6,4,Exposed,0,58,1.1136
Night,6,5,Exposed,0,66,1.2672
Night,6,6,Exposed,0,67,1.2864
Night,6,7,Exposed,0,67,1.2864
Night,6,8,Exposed,0,68,1.3056
Night,6,9,Exposed,0,66,1.2672
Night,6,10,Exposed,0,60,1.152
Night,6,11,Exposed,0,72,1.3824
Night,6,12,Exposed,0,61,1.1712
Night,6,13,Exposed,0,69,1.3248
Night,6,14,Exposed,0,68,1.3056
Night,6,15,Exposed,0,68,1.3056
Night,6,16,Exposed,0,59,1.1328
Night,6,17,Exposed,0,51,0.9792
Night,6,18,Exposed,0,52,0.9984
Night,6,19,Exposed,0,55,1.056
Night,6,20,Exposed,0,57,1.0944
Night,6,21,Exposed,0,69,1.3248
Night,6,22,Exposed,0,58,1.1136
Night,6,23,Exposed,0,71,1.3632
Night,6,24,Exposed,0,66,1.2672
Night,6,25,Exposed,0,61,1.1712
Night,6,26,Exposed,0,58,1.1136
Night,6,27,Exposed,0,56,1.0752
Night,6,28,Exposed,0,65,1.248
Night,6,29,Exposed,0,66,1.2672
Night,6,30,Exposed,0,63,1.2096
Night,6,31,Control,0,62,1.1904
Night,6,32,Control,0,72,1.3824
Night,6,33,Control,0,58,1.1136
Night,6,34,Control,0,69,1.3248
Night,6,35,Control,0,70,1.344
Night,6,36,Control,0,53,1.0176
Night,6,37,Control,0,70,1.344
Day,7,1,Exposed,0,57,1.0944
Day,7,2,Exposed,0,67,1.2864
Day,7,3,Exposed,0,63,1.2096
Day,7,4,Exposed,0,57,1.0944
Day,7,5,Exposed,0,61,1.1712
Day,7,6,Exposed,0,65,1.248
Day,7,7,Exposed,0,64,1.2288
Day,7,8,Exposed,0,68,1.3056
Day,7,9,Exposed,0,70,1.344
Day,7,10,Exposed,0,47,0.9024
Day,7,11,Exposed,0,60,1.152
Day,7,12,Exposed,0,69,1.3248
Day,7,13,Exposed,0,59,1.1328
Day,7,14,Exposed,0,59,1.1328
Day,7,15,Exposed,0,70,1.344
Day,7,16,Exposed,0,67,1.2864
Day,7,17,Exposed,0,70,1.344
Day,7,18,Exposed,0,62,1.1904
Day,7,19,Exposed,0,66,1.2672
Day,7,20,Exposed,0,60,1.152
Day,7,21,Exposed,0,62,1.1904
Day,7,22,Exposed,0,50,0.96
Day,7,23,Exposed,0,59,1.1328
Day,7,24,Exposed,0,65,1.248
Day,7,25,Exposed,0,62,1.1904
Day,7,26,Exposed,0,74,1.4208
Day,7,27,Exposed,0,56,1.0752
Day,7,28,Exposed,0,64,1.2288
Day,7,29,Exposed,0,58,1.1136
Day,7,30,Exposed,0,70,1.344
Day,7,31,Control,0,55,1.056
Day,7,32,Control,0,69,1.3248
Day,7,33,Control,0,53,1.0176
Day,7,34,Control,0,68,1.3056
Day,7,35,Control,0,72,1.3824
Day,7,36,Control,0,67,1.2864
Day,7,37,Control,0,70,1.344
Night,7,1,Exposed,0,62,1.1904
