Age_at_exposure,Day/Night,Animal #,Treatment,6_do,7_do,8_do,9_do,10_do,11_do,12_do,13_do,14_do,15_do,16_do,17_do,18_do,19_do,20_do,21_do,total_offspring,age_at_death,measure_at_death,age_at_first_clutch,infected,spore_counts
6,Day,1,Exposed,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,10,0,0
6,Day,2,Exposed,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7,17,NA,11,0,0
6,Day,3,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
6,Day,4,Exposed,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,4,16,71,10,0,0
6,Day,5,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA,12,0,0
6,Day,6,Exposed,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,10,0,0
6,Day,7,Exposed,NA,NA,NA,2,1,2,NA,NA,1,2,NA,2,NA,NA,NA,NA,10,NA,NA,9,0,0
6,Day,8,Exposed,NA,NA,NA,NA,4,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,10,0,0
6,Day,9,Exposed,NA,NA,NA,NA,2,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,10,0,0
6,Day,10,Exposed,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17,NA,9,0,0
6,Day,11,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,67,NA,0,0
6,Day,12,Exposed,NA,NA,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,8,NA,NA,10,0,0
6,Day,13,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,0
6,Day,14,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,NA,NA
6,Day,15,Exposed,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,9,0,0
6,Day,16,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA
6,Day,17,Exposed,NA,NA,NA,NA,3,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,10,NA,NA,10,0,0
6,Day,18,Exposed,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,10,0,0
6,Day,19,Exposed,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,13,0,0
6,Day,20,Exposed,NA,NA,NA,NA,1,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,8,NA,NA,10,0,0
6,Day,21,Exposed,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,10,0,0
6,Day,22,Exposed,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4,17,NA,9,0,0
6,Day,23,Exposed,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,10,0,0
6,Day,24,Exposed,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,11,0,0
6,Day,25,Exposed,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,9,NA,NA,10,0,0
6,Day,26,Exposed,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,10,0,0
6,Day,27,Exposed,NA,NA,NA,2,2,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,10,17,NA,9,0,0
6,Day,28,Exposed,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,NA,10,0,0
6,Day,29,Exposed,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,11,0,0
6,Day,30,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Day,31,Control,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,11,NA,NA
6,Day,32,Control,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,13,NA,NA
6,Day,33,Control,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,13,NA,NA
6,Day,34,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Day,35,Control,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,10,NA,NA
